Go.	Geh.
Who did it?	Wer hat das getan?
Who has it?	Wer hat es?
Who has it?	Wer hat ihn?
Who has it?	Wer hat sie?
Who is she?	Wer ist sie?
Who phoned?	Wer hat telefoniert?
Who phoned?	Wer telefonierte?
Who saw me?	Wer sah mich?
Who saw me?	Wer hat mich gesehen?
Who stayed?	Wer blieb?
Who stayed?	Wer ist geblieben?
Who talked?	Wer hat gesprochen?
Who talked?	Wer sprach?
Who was it?	Wer war’s?
Who yelled?	Wer hat geschrien?
Who yelled?	Wer schrie?
Who'll row?	Wer rudert?
Who's here?	Wer ist hier?
Who's next?	Wer ist der Nächste?
Who's next?	Wer ist als nächstes dran?
Who's sick?	Wer ist krank?
Who's that?	Wer ist das?
Why bother?	Was soll's bringen?
Wood burns.	Holz brennt.
You agreed.	Sie waren einverstanden.
You agreed.	Du warst einverstanden.
You called?	Hast du angerufen?
You called?	Haben Sie angerufen?
You can go.	Du kannst gehen.
You can go.	Ihr könnt gehen.
You decide.	Du bestimmst.
You decide.	Sie entscheiden.
You may go.	Sie dürfen gehen.
You may go.	Du kannst gehen.
You may go.	Sie können gehen.
You may go.	Ihr könnt gehen.
You missed.	Du hast nicht getroffen.
You missed.	Sie haben nicht getroffen.
You owe me.	Du schuldest mir was!
You're big.	Du bist groß.
You're old.	Du bist alt.
You're old.	Sie sind alt.
You've won!	Du hast gewonnen!
You've won!	Ihr habt gewonnen!
You've won!	Sie haben gewonnen!
All is well.	Alles ist gut.
Am I stupid?	Bin ich dumm?
Anyone home?	Jemand zuhause?
Anyone hurt?	Ist jemand verletzt?
Are we done?	Sind wir fertig?
Are we done?	Sind wir dann durch?
Are we done?	War es das?
Are we lost?	Haben wir uns verlaufen?
Are we safe?	Sind wir sicher?
Are you Tom?	Bist du Tom?
Are you Tom?	Sind Sie Tom?
Are you fat?	Bist du dick?
Are you fit?	Bist du in Form?
Are you hot?	Ist dir heiß?
Are you mad?	Bist du sauer?
Are you mad?	Sind Sie wütend?
Are you mad?	Bist du verrückt?
Are you mad?	Hast du einen Vogel?
Are you new?	Bist du neu?
Are you new?	Seid ihr neu?
Are you shy?	Bist du schüchtern?
Ask anybody.	Frag irgendwen!
Ask for Tom.	Frag nach Tom.
Be creative.	Sei kreativ!
Be creative.	Seid kreativ!
Be creative.	Seien Sie kreativ!
Be discreet.	Seid diskret!
Be discreet.	Seien Sie diskret!
Be generous.	Sei großzügig!
Be merciful.	Sei gnädig!
Be merciful.	Seien Sie gnädig!
Be merciful.	Seid gnädig!
Be prepared.	Sei gewappnet!
Be prepared.	Seid gewappnet!
Be prepared.	Seien Sie gewappnet!
Be punctual.	Sei pünktlich.
Be punctual.	Seien Sie pünktlich.
Be punctual.	Sei pünktlich!
Be ruthless.	Sei gnadenlos!
Be ruthless.	Seid gnadenlos!
Be ruthless.	Seien Sie gnadenlos!
Be sensible.	Sei vernünftig!
Be sensible.	Seien Sie vernünftig!
Be specific.	Sei spezifisch.
Be specific.	Seien Sie spezifisch.
Be specific.	Seid spezifisch.
Be thorough.	Sei gründlich.
Be thorough.	Seien Sie gründlich.
Be tolerant.	Sei tolerant.
Be vigilant.	Sei wachsam.
Be vigilant.	Seid wachsam.
Be vigilant.	Seien Sie wachsam.
Be watchful.	Sei auf der Hut.
Be yourself.	Sei du selbst!
Be yourself.	Sei du selbst.
Beer's good.	Bier ist gut.
Boys do cry.	Jungen weinen sehr wohl.
Boys do cry.	Jungs weinen sehr wohl.
Break it up!	Teile es auf!
Breathe out.	Atme aus.
Bring a hat.	Hol einen Hut.
Can I begin?	Kann ich anfangen?
Can it wait?	Kann das noch warten?
Can we come?	Können wir kommen?
Can we help?	Können wir helfen?
Can we sing?	Können wir singen?
Can we stop?	Können wir aufhören?
Can we stop?	Können wir anhalten?
Can we swim?	Können wir schwimmen?
Can we talk?	Können wir reden?
Can you see?	Können Sie sehen?
Can you try?	Kannst du es versuchen?
Can you try?	Könnt ihr es versuchen?
Can you try?	Können Sie es versuchen?
Come aboard.	Komm an Bord!
Come aboard.	Kommt an Bord!
Come aboard.	Kommen Sie an Bord!
Come closer.	Komm näher.
Come closer.	Kommen Sie näher.
Come closer.	Kommt näher.
Come get it.	Komm und hol es dir.
Come get me.	Komm und hol mich.
Come get me.	Fang mich doch!
Come inside.	Komm herein.
Come see me.	Komm und besuch mich.
Comfort Tom.	Tröste Tom.
Comfort Tom.	Tröstet Tom.
Comfort Tom.	Trösten Sie Tom.
Contact Tom.	Setz dich mit Tom in Verbindung.
Contact Tom.	Setzen Sie sich mit Tom in Verbindung.
Contact Tom.	Setzt euch mit Tom in Verbindung.
Cook for me.	Koche für mich.
Cook for me.	Koch für mich!
Count me in.	Zähl mich dazu.
Count me in.	Ich bin dabei!
Count me in.	Ich mache mit!
Count on it.	Verlass dich drauf!
Did Tom cry?	Hat Tom geweint?
Did Tom die?	Ist Tom gestorben?
Did Tom eat?	Hat Tom gegessen?
Did Tom run?	Ist Tom gerannt?
Did Tom try?	Hat Tom es versucht?
Did it help?	Hat es geholfen?
Did it work?	Hat es funktioniert?
Do as I say.	Tu, was ich sage!
Do it again!	Mach es noch einmal.
Do it again.	Mach es nochmal.
Do it later.	Mache es doch später.
Do you bowl?	Kegelst du?
Do you bowl?	Kegeln Sie?
Do you bowl?	Kegelt ihr?
Do you fish?	Fischen Sie?
Do you mind?	Macht es dir etwas aus?
Don't blink.	Nicht blinzeln!
Don't cheat.	Betrüge nicht.
Don't do it!	Tu es nicht!
Don't do it!	Mach das nicht!
Don't fight.	Streitet euch nicht.
Don't go in.	Geh nicht rein.
Don't laugh.	Nicht lachen!
Don't laugh.	Lach nicht!
Don't laugh.	Lachen Sie nicht!
Don't leave!	Gehe nicht weg!
Don't panic!	Nicht in Panik ausbrechen!
Don't panic.	Keine Panik.
Don't shoot!	Nicht schießen!
Don't shoot.	Nicht schießen!
Don't smile.	Lach nicht.
Don't smile.	Lächel nicht!
Don't stare.	Starr nicht!
Don't stare.	Starren Sie nicht!
Don't stare.	Starrt nicht!
Don't worry.	Keine Sorge.
Don't worry.	Mache dir keine Sorgen!
Don't worry.	Mach dir keine Gedanken.
Don't worry.	Machen Sie sich keine Gedanken.
Eat with us.	Iss mit uns.
Eat with us.	Essen Sie mit uns.
Eat with us.	Esst mit uns.
Finish this.	Schließen Sie das ab.
Finish this.	Mach das fertig.
Flip a coin.	Wirf eine Münze.
Flip a coin.	Werfen Sie eine Münze.
Flip a coin.	Werft eine Münze.
Forgive Tom.	Vergib Tom!
Forgive Tom.	Vergeben Sie Tom!
Forgive Tom.	Vergebt Tom!
Get changed.	Zieh dich um.
Get dressed.	Zieh dich an!
Get in here!	Komm hier rein!
Get serious.	Sei mal ernst!
Get started.	Leg los.
Get started.	Fang an.
Get started.	Legen Sie los.
Get started.	Fangen Sie an.
Get started.	Fangt an.
Get started.	Legt los.
Get started.	Fang schon mal an.
Get to work.	An die Arbeit!
Go find Tom.	Gehe Tom suchen!
Go find Tom.	Gehe hin und suche Tom!
Go find out.	Geh und finde es heraus.
Go find out.	Gehen Sie und finden Sie es heraus.
Go find out.	Geht und findet es heraus.
Go for help.	Hol Hilfe!
Go home now.	Geh jetzt nach Hause!
Go home now.	Geh sofort nach Hause!
Go on board.	Gehen Sie an Bord!
Go on board.	Gehe an Bord!
Go on board.	Geht an Bord!
Go that way.	Gehe dort entlang!
Go that way.	Gehen Sie da lang!
Go with Tom.	Geh mit Tom.
Guess again.	Rate noch einmal!
Guess again.	Raten Sie noch einmal!
Guess again.	Ratet noch einmal!
Have a look.	Guck mal.
Have a seat.	Setz dich!
Have we met?	Kennen wir uns?
He can come.	Er kann kommen.
He can read.	Er kann lesen.
He can swim.	Er kann schwimmen.
He chuckled.	Er kicherte.
He found it.	Er hat es gefunden.
He got away.	Er ist davongekommen.
He has come!	Er ist gekommen!
He has guts.	Er hat Mumm.
He has wine.	Er hat Wein.
He helps us.	Er hilft uns.
He is alone.	Er ist alleine.
He is eight.	Er ist acht.
He is happy.	Er ist glücklich.
He is hated.	Er wird gehasst.
He is hated.	Er ist verhasst.
He is lying.	Er lügt.
He is young.	Er ist jung.
He loves us.	Er liebt uns.
He needs it.	Er braucht es.
He relented.	Er gab nach.
He relented.	Er lenkte ein.
He resigned.	Er hat gekündigt.
He squinted.	Er kniff die Augen zu.
He stood up.	Er stand auf.
He was busy.	Er war beschäftigt.
He was hurt.	Er wurde verletzt.
He's a jerk.	Er ist ein Blödmann.
He's a liar.	Er ist ein Lügner.
He's a liar.	Er ist ein Lügner!
He's asleep.	Er schläft.
He's coming.	Er kommt gleich.
He's faking.	Er tut so als ob.
He's loaded.	Er ist stinkreich.
He's my age.	Er hat mein Alter.
He's my dad.	Er ist mein Vater.
He's not in.	Er ist nicht zuhause.
He's not in.	Er ist nicht zu Hause.
He's not in.	Er ist nicht daheim.
He's not in.	Er ist nicht da.
He's strong.	Er ist stark.
He's wasted.	Er ist stockbetrunken.
He's wasted.	Er ist stockbesoffen.
Hello again.	Nochmals hallo!
Here I come.	Hier komme ich.
Here she is!	Hier ist sie!
Here we are!	Da sind wir!
Here we are.	Da sind wir.
Here, catch!	Da, fangt!
Here, catch!	Da, fang!
Here, catch!	Da, fangen Sie!
Hi, I'm Tom.	Hallo, ich bin Tom.
Hi, it's me.	Hallo! Ich bin’s.
Hold my bag.	Halt mal meine Tasche.
How are you?	Wie geht es dir?
How are you?	Wie geht es Ihnen?
How are you?	Wie geht’s dir?
How are you?	Wie geht es euch?
How curious!	Wie seltsam!
How curious!	Wie merkwürdig!
How goes it?	Wie läuft's?
How is life?	Wie geht's, wie steht's?
How strange!	Wie seltsam!
I adore you.	Ich verehre dich.
I adore you.	Ich verehre euch.
I adore you.	Ich verehre Sie.
I adore you.	Ich bete dich an.
I adore you.	Ich bete euch an.
I adore you.	Ich bete Sie an.
I am a cook.	Ich bin ein Koch.
I am a monk.	Ich bin ein Mönch.
I am a twin.	Ich bin ein Zwilling.
I am better.	Ich bin besser.
I am coming.	Ich komme sofort.
I am dozing.	Ich bin am Dösen.
I am online.	Ich bin online.
I am online.	Ich bin im Netz.
I am taller.	Ich bin größer.
I apologize.	Es tut mir leid.
I asked Tom.	Ich habe Tom gefragt.
I asked why.	Ich fragte nach dem Grund.
I assume so.	Das nehme ich an.
I ate a lot.	Ich habe mächtig reingehauen.
I ate a lot.	Ich habe viel gegessen.
I blame Tom.	Ich gebe Tom die Schuld.
I bought it.	Ich habe es gekauft.
I bought it.	Ich habe sie gekauft.
I bought it.	Ich habe ihn gekauft.
I burned it.	Ich hab’s verbrannt.
I can do it.	Ich kann es schaffen.
I can drive.	Ich kann Auto fahren.
I can skate.	Ich kann Schlittschuh laufen.
I can't eat.	Ich kann nichts essen.
I can't eat.	Ich kann nicht essen.
I can't fly.	Ich kann nicht fliegen.
I can't say.	Das kann ich nicht sagen.
I can't see.	Ich kann nicht sehen!
I cut class.	Ich habe die Schule geschwänzt.
I deny that.	Ich bestreite das.
I didn't go.	Ich ging nicht.
I didn't go.	Ich bin nicht gegangen.
I disagreed.	Ich diskutierte.
I disagreed.	Ich war anderer Meinung.
I disagreed.	Ich stimmte nicht zu.
I disagreed.	Ich habe nicht zugestimmt.
I disagreed.	Ich bin anderer Meinung gewesen.
I don't lie.	Ich lüge nicht.
I dozed off.	Ich döste.
I dozed off.	Ich döste ein.
I drank tea.	Ich trank Tee.
I eat a lot.	Ich esse viel.
I eat bread.	Ich esse Brot.
I eat fruit.	Ich esse Obst.
I exercised.	Ich habe trainiert.
I feel blue.	Ich bin traurig.
I feel fine.	Es geht mir gut.
I feel good.	Es geht mir gut.
I feel sick.	Mir ist schlecht.
I feel sick.	Mir ist übel.
I feel weak.	Ich fühle mich schwach.
I feel well.	Es geht mir gut.
I felt cold.	Mir war kalt.
I felt dumb.	Ich kam mir wie ein Blödmann vor.
I felt good.	Ich fühlte mich gut.
I fired Tom.	Ich habe Tom gefeuert.
I forgot it.	Ich habe es vergessen.
I found Tom.	Ich habe Tom gefunden.
I found you.	Ich habe dich gefunden.
I found you.	Ich habe Sie gefunden.
I found you.	Ich fand dich.
I got angry.	Ich wurde wütend.
I got angry.	Ich wurde böse.
I got dizzy.	Mir wurde schwindelig.
I had a job.	Ich hatte eine Arbeitsstelle.
I had to go.	Ich musste gehen.
I hate beer.	Ich hasse Bier.
I hate bugs.	Ich hasse Insekten.
I hate cats.	Ich hasse Katzen.
I hate dogs.	Ich hasse Hunde.
I hate fish.	Ich hasse Fisch.
I hate kids.	Ich hasse Kinder.
I hate mice.	Ich hasse Mäuse.
I hate milk.	Ich hasse Milch.
I hate rain.	Ich hasse Regen.
I hate sand.	Ich hasse Sand.
I hate that.	Ich hasse das.
I hate that.	Ich hasse den.
I hate that.	Ich hasse die.
I hate them.	Ich hasse sie.
I hate this.	Ich hasse das.
I hate this.	Ich hasse den.
I hate this.	Ich hasse die.
I hate wine.	Ich hasse Wein.
I hate work.	Ich hasse Arbeit.
I have $300.	Ich habe dreihundert Dollar.
I have PTSD.	Ich habe eine posttraumatische Belastungsstörung.
I have cash.	Ich habe Bargeld.
I have eyes.	Ich habe Augen.
I have food.	Ich habe etwas zu essen.
I have kids.	Ich habe Kinder.
I have more.	Ich habe noch mehr.
I have more.	Ich habe mehr.
I have time.	Ich habe Zeit.
I have wine.	Ich habe Wein.
I heard you.	Ich habe dich gehört.
I hesitated.	Ich zögerte.
I hesitated.	Ich habe gezögert.
I hired Tom.	Ich stellte Tom ein.
I hired Tom.	Ich habe Tom eingestellt.
I knew that.	Ich wusste das.
I know that.	Ich weiß das.
I know them.	Ich kenne sie.
I know this.	Ich weiß das.
I like both.	Ich mag beide.
I like both.	Ich mag beides.
I like cake.	Ich mag Kuchen.
I like cats.	Ich mag Katzen.
I like dogs.	Ich mag Hunde.
I like fish.	Ich mag Fisch gern.
I like fish.	Ich esse gerne Fisch.
I like jazz.	Ich mag Jazzmusik.
I like jazz.	Ich mag Jazz.
I like math.	Ich mag Mathe.
I like math.	Ich liebe Mathematik.
I like math.	Ich mag Mathematik.
I like milk.	Ich mag Milch.
I like rice.	Ich esse gerne Reis.
I like snow.	Ich mag Schnee.
I like that.	Das gefällt mir.
I like them.	Ich mag sie.
I like this.	Ich mag das.
I like wine.	Ich mag Wein.
I liked Tom.	Ich mochte Tom.
I live here.	Ich wohne hier.
I live here.	Ich lebe hier.
I live here.	Ich bin hier zu Hause.
I lost face.	Ich habe das Gesicht verloren.
I love Mary.	Ich liebe Maria.
I love beef.	Ich liebe Rindfleisch.
I love beer.	Ich liebe Bier.
I love cake.	Ich liebe Kuchen.
I love dogs.	Ich liebe Hunde.
I love kids.	Ich liebe Kinder.
I love life.	Ich liebe das Leben.
I love math.	Ich mag Mathe.
I love math.	Ich liebe Mathematik.
I love math.	Ich mag Mathematik.
I love rice.	Ich liebe Reis.
I love rock.	Ich mag Rock.
I love rock.	Ich liebe Rock.
I love snow.	Ich liebe Schnee.
I love soup.	Ich liebe Suppe.
I love them.	Ich liebe sie.
I loved her.	Ich habe sie geliebt.
I loved you.	Ich habe dich geliebt.
I loved you.	Ich liebte dich.
I loved you.	Ich habe euch geliebt.
I made rice.	Ich habe Reis gemacht.
I made that.	Ich habe das gemacht.
I made this.	Ich habe das gemacht.
I must obey.	Ich muss gehorchen.
I must rest.	Ich muss mich ausruhen.
I need glue.	Ich brauche Kleber.
I need help.	Ich brauche Hilfe.
I need more.	Ich brauche mehr.
I need them.	Ich brauche sie.
I need them.	Ich benötige sie.
I need time.	Ich brauche Zeit.
I never bet.	Ich wette nie.
I never cry.	Ich weine nie.
I never win.	Ich gewinne nie.
I often ski.	Ich fahre oft Ski.
I oppose it.	Ich bin dagegen.
I overslept.	Ich habe verschlafen.
I read lips.	Ich lese Lippen.
I read lips.	Ich las Lippen.
I recovered.	Ich habe mich erholt.
I said stop.	Ich habe gesagt, dass du aufhören sollst!
I said stop.	Ich habe gesagt „Hör auf!“
I said that.	Ich habe das gesagt.
I saved you.	Ich habe Sie gerettet.
I saved you.	Ich habe euch gerettet.
I saved you.	Ich habe dich gerettet.
I saw a UFO.	Ich sah ein UFO.
I saw a UFO.	Ich habe eine Fliegende Untertasse gesehen.
I saw a dog.	Ich habe einen Hund gesehen.
I saw to it.	Ich habe dafür gesorgt.
I see a boy.	Ich sehe einen Jungen.
I smell gas.	Ich rieche Benzin.
I smell gas.	Ich rieche Gas.
I stammered.	Ich stammelte.
I surrender.	Ich ergebe mich.
I talk fast.	Ich spreche schnell.
I trust Tom.	Ich vertraue Tom.
I trust him.	Ich vertraue ihm.
I trust you.	Ich verlasse mich auf dich.
I trust you.	Ich vertraue Ihnen.
I want Mary.	Ich will Maria.
I want cash.	Ich will Bargeld.
I want cash.	Ich will Bares.
I want eggs.	Ich will Eier.
I want kids.	Ich will Kinder.
I want mine.	Ich will meins.
I want more.	Ich will mehr.
I want that.	Ich will das.
I want them.	Ich will sie.
I want this.	Ich will das hier.
I want time.	Ich brauche Zeit.
I want time.	Ich will Zeit.
I was alone.	Ich war allein.
I was angry.	Ich war wütend.
I was awake.	Ich war wach.
I was bored.	Ich langweilte mich.
I was bored.	Ich habe mich gelangweilt.
I was dizzy.	Mir war schwindlig.
I was drunk.	Ich war besoffen.
I was fired.	Ich wurde gefeuert.
I was fired.	Ich wurde entlassen.
I was happy.	Ich war glücklich.
I was hired.	Ich wurde eingestellt.
I was lucky.	Glück gehabt!
I was lying.	Ich habe gelegen.
I was lying.	Ich habe gelogen.
I was moved.	Ich war gerührt.
I was naive.	Ich war naiv.
I was naive.	Ich war leichtgläubig.
I was naked.	Ich war nackt.
I was quiet.	Ich war still.
I was ready.	Ich war bereit.
I was right.	Ich hatte recht.
I was sober.	Ich war nüchtern.
I was there.	Ich war da.
I was there.	Ich war dort.
I was tired.	Ich war müde.
I was upset.	Ich war bestürzt.
I was wrong.	Ich habe mich geirrt.
I was wrong.	Ich hatte unrecht.
I went home.	Ich ging nach Hause.
I whispered.	Ich flüsterte.
I whispered.	Ich habe geflüstert
I will help.	Ich helfe.
I will obey.	Ich werde gehorchen.
I will stay.	Ich werde bleiben.
I will walk.	Ich werde zu Fuß gehen.
I won again.	Ich habe wieder gewonnen.
I won't die.	Ich werde nicht sterben.
I work here.	Ich arbeite hier.
I'd ask Tom.	Ich würde Tom fragen.
I'll attend.	Ich werde da sein.
I'll attend.	Ich werde anwesend sein.
I'll attend.	Ich werde dort sein.
I'll buy it.	Ich kaufe es.
I'll cancel.	Ich werde absagen.
I'll cancel.	Ich werde abbrechen.
I'll decide.	Ich werde entscheiden.
I'll fix it.	Ich werde das reparieren.
I'll follow.	Ich werde folgen.
I'll get by.	Ich werde klarkommen.
I'll get in.	Ich werde einsteigen.
I'll get it.	Ich werde es holen.
I'll get up.	Ich werde aufstehen.
I'll go now.	Ich werde jetzt gehen.
I'll go see.	Ich werde nachsehen.
I'll manage.	Ich werde klarkommen.
I'll manage.	Ich werde zurechtkommen.
I'll scream.	Ich werde schreien.
I'll try it.	Ich werde es probieren.
I'll try it.	Ich werde es versuchen.
I'll use it.	Ich werde es verwenden.
I'm 17, too.	Ich bin auch siebzehn.
I'm 17, too.	Ich bin auch siebzehn Jahre alt.
I'm a baker.	Ich bin Bäcker.
I'm a child.	Ich bin ein Kind.
I'm a klutz.	Ich bin ein Tollpatsch.
I'm a loner.	Ich bin ein Eigenbrötler.
I'm a medic.	Ich bin Arzt.
I'm a nurse.	Ich bin eine Krankenschwester.
I'm a nurse.	Ich bin Krankenpfleger.
I'm a nurse.	Ich bin Krankenschwester.
I'm a slave.	Ich bin ein Sklave.
I'm a vegan.	Ich bin Veganer.
I'm at home.	Ich bin zu Hause.
I'm careful.	Ich bin vorsichtig.
I'm certain.	Ich bin mir sicher.
I'm chicken.	Ich bin ein Angsthase.
I'm chicken.	Ich bin ein Feigling.
I'm curious.	Ich bin neugierig.
I'm dancing.	Ich tanze.
I'm dancing.	Ich tanze gerade.
I'm dieting.	Ich bin auf Diät.
I'm fasting.	Ich faste.
I'm finicky.	Ich bin pingelig.
I'm hard up.	Ich bin knapp bei Kasse.
I'm healthy.	Ich bin bei guter Gesundheit.
I'm healthy.	Ich bin gesund.
I'm humming.	Ich summe.
I'm humming.	Ich summe gerade.
I'm in debt.	Ich habe Schulden.
I'm in debt.	Ich bin verschuldet.
I'm in here.	Ich bin hier drin.
I'm in jail.	Ich bin im Gefängnis.
I'm in love.	Ich bin verliebt.
I'm in pain.	Ich habe Schmerzen.
I'm injured.	Ich bin verletzt.
I'm jealous.	Ich bin eifersüchtig.
I'm leaving.	Ich gehe.
I'm leaving.	Ich verschwinde.
I'm married.	Ich bin verheiratet.
I'm nervous.	Ich bin nervös.
I'm no liar.	Ich bin kein Lügner.
I'm no liar.	Ich bin keine Lügnerin.
I'm not Tom.	Ich bin nicht Tom.
I'm not fat.	Ich bin nicht dick!
I'm not mad.	Ich bin nicht verrückt.
I'm not old.	Ich bin nicht alt.
I'm not sad.	Ich bin nicht traurig.
I'm not shy.	Ich bin nicht schüchtern.
I'm not you.	Ich bin nicht du.
I'm on duty.	Ich bin im Dienst.
I'm outside.	Ich bin draußen.
I'm over it.	Ich bin darüber hinweg.
I'm patient.	Ich bin geduldig.
I'm popular.	Ich bin beliebt.
I'm praying.	Ich bete.
I'm relaxed.	Ich bin entspannt.
I'm resting.	Ich ruhe mich aus.
I'm retired.	Ich bin in Rente.
I'm sad now.	Jetzt bin ich traurig.
I'm selfish.	Ich bin selbstsüchtig.
I'm serious.	Es ist mein Ernst.
I'm serious.	Ich meine es ernst.
I'm shocked.	Ich bin erschrocken.
I'm sincere.	Ich bin aufrichtig.
I'm so cold.	Mir ist so kalt.
I'm so full.	Ich bin so satt.
I'm starved.	Ich sterbe vor Hunger!
I'm staying.	Ich bleibe.
I'm staying.	Ich bleib’.
I'm stuffed!	Ich bin pappsatt.
I'm stunned.	Ich bin fassungslos.
I'm talking.	Ich spreche gerade.
I'm the law.	Das Gesetz bin ich!
I'm the law.	Ich bin das Gesetz.
I'm thirsty.	Ich habe Durst.
I'm thirsty.	Ich bin durstig.
I'm through.	Ich bin damit durch.
I'm touched.	Ich bin gerührt.
I'm trapped.	Ich bin gefangen.
I'm unarmed.	Ich bin unbewaffnet.
I'm unhappy.	Ich bin unglücklich.
I'm unlucky.	Ich habe Pech.
I'm unusual.	Ich bin ungewöhnlich.
I'm up here.	Ich bin hier oben.
I'm useless.	Ich bin nutzlos.
I'm useless.	Ich bin ein Nichtsnutz.
I'm wealthy.	Ich bin wohlhabend.
I'm winning.	Ich gewinne.
I'm winning.	Ich bin am Gewinnen.
I'm wounded.	Ich bin verletzt.
I've failed.	Ich bin gescheitert.
I've got it.	Ich hab’s!
I've had it.	Ich bin bedient.
Ignore that.	Ignorier das.
Ignore them.	Ignoriere sie.
Ignore them.	Ignorieren Sie sie.
Ignore them.	Ignoriert sie.
Is Tom busy?	Hat Tom viel zu tun?
Is Tom good?	Ist Tom brav?
Is Tom here?	Ist Tom hier?
Is Tom lost?	Ist Tom verloren?
Is Tom next?	Ist Tom als Nächster dran?
Is Tom safe?	Ist Tom sicher?
Is Tom sick?	Ist Tom krank?
Is Tom sure?	Ist Tom sich sicher?
Is Tom tall?	Ist Tom groß?
Is Tom well?	Geht es Tom gut?
Is he right?	Hat er recht?
Is it Tom's?	Ist es Toms?
Is it black?	Ist es schwarz?
Is it foggy?	Ist es neblig?
Is it legal?	Ist das legal?
Is it legal?	Ist das gesetzlich zugelassen?
Is it tasty?	Schmeckt es?
Is it tasty?	Schmeckt's?
Is it there?	Ist es da?
Is it there?	Ist er da?
Is it there?	Ist sie da?
Is it to go?	Zum Mitnehmen?
Is it white?	Ist es weiß?
Is it windy?	Ist es windig?
Is it yours?	Ist es deins?
Is it yours?	Ist es Ihres?
Is it yours?	Ist das deins?
Is it yours?	Ist das eures?
Is she gone?	Ist sie weg?
Is she nice?	Ist sie nett?
Is that Tom?	Ist das Tom?
Is that Tom?	Ist das da Tom?
Is that fun?	Macht das Spaß?
Is that new?	Ist das neu?
Is that you?	Wär's das?
Is this Tom?	Ist das Tom?
Is this art?	Ist das Kunst?
Is this new?	Ist das neu?
It can wait.	Das hat Zeit.
It can't be!	Das ist nicht möglich!
It can't be!	Das kann nicht sein!
It happened.	Es ist passiert.
It happened.	Es ist geschehen.
It is foggy.	Es ist neblig.
It is foggy.	Es ist Nebel.
It is on me.	Das geht auf mich!
It may rain.	Vielleicht wird es regnen.
It may rain.	Vielleicht regnet es.
It may snow.	Vielleicht schneit es.
It saved me.	Das hat mich gerettet.
It was cold.	Es war kalt.
It was dark.	Es war dunkel.
It was good.	Es war gut.
It was here.	Es war hier.
It was real.	Es war real.
It was warm.	Es war warm.
It'll be OK.	Es wird in Ordnung gehen.
It'll break.	Das wird brechen.
It'll break.	Es wird kaputt gehen.
It'll break.	Es wird brechen.
It's 50 yen.	Das sind fünfzig Yen.
It's Monday.	Es ist Montag.
It's a book.	Das ist ein Buch.
It's a bull.	Das ist ein Bulle.
It's a fake.	Das ist eine Fälschung.
It's a fish.	Das ist ein Fisch.
It's a joke.	Das ist ein Witz.
It's a pity.	Schade.
It's a pity.	Es ist schade.
It's a rule.	Es ist eine Regel.
It's boring.	Das ist langweilig.
It's broken.	Es ist kaputt.
It's cloudy.	Es ist bewölkt.
It's for me.	Es ist für mich.
It's for us.	Es ist für uns.
It's futile.	Es ist nutzlos.
It's locked.	Sie ist abgeschlossen.
It's locked.	Er ist abgeschlossen.
It's my job.	Es ist mein Job.
It's my job.	Das ist meine Arbeit.
It's no use.	Es hat keinen Zweck.
It's no use.	Es bringt nichts.
It's poison.	Das ist Gift.
It's secret.	Das ist geheim.
It's secret.	Es ist geheim.
It's simple.	Es ist einfach.
It's so sad.	Es ist so traurig.
It's spring.	Es ist Frühling.
It's stupid.	Das ist blöd.
It's urgent.	Es ist dringend.
It's urgent.	Es eilt.
It's urgent.	Es ist dringlich.
Jump across.	Spring drüber.
Jump across.	Springen Sie hinüber.
Just say no.	Sag einfach nein.
Just try it.	Versuch's doch einfach!
Just try it.	Versucht es doch einfach!
Just try it.	Versuchen Sie's doch einfach!
Just try it.	Probier das mal.
Keep moving.	Beweg dich weiter!
Keep moving.	Bewegen Sie sich weiter!
Keep moving.	Bewegt euch weiter!
Keep trying.	Versuch's weiter!
Let me know.	Lass es mich wissen.
Let me talk.	Lass mich sprechen.
Let's begin.	Lasst uns beginnen.
Let's begin.	Lassen Sie uns anfangen.
Let's begin.	Lassen Sie uns loslegen.
Let's begin.	Lasst uns loslegen.
Let's begin.	Lasst uns anfangen.
Let's begin.	Fangen wir an!
Let's begin.	Lasst uns anfangen!
Let's begin.	Lass uns anfangen!
Let's check.	Lasst uns nachprüfen.
Let's dance.	Lass uns tanzen.
Let's do it!	Tun wir's!
Let's do it!	Lass es uns in Angriff nehmen!
Let's go in.	Lass uns reingehen.
Let's go in.	Lasst uns hineingehen!
Let's go up.	Lass uns hochgehen!
Let's relax.	Entspannen wir uns!
Let's split.	Teilen wir uns auf!
Let's start!	Los geht's.
Let's start!	Fangen wir an!
Let's start!	Lasst uns anfangen!
Let's start.	Fangen wir an!
Let's study.	Lasst uns studieren!
Life is fun.	Das Leben macht Spaß.
Look at Tom.	Schau dir Tom an.
Look at him.	Schaue ihn an.
Look closer.	Schau genauer hin.
Look closer.	Schaut genauer hin.
Look closer.	Schauen Sie genauer hin.
Lunch is on.	Mittagessen ist fertig.
Make a fist.	Mach eine Faust.
Make a fist.	Machen Sie eine Faust.
Make a list.	Mach eine Liste.
Make a list.	Machen Sie eine Liste.
Make a list.	Macht eine Liste.
Make a wish.	Wünsch dir was.
Many thanks.	Vielen Dank!
Many thanks.	Danke sehr!
May I begin?	Darf ich anfangen?
